Date,IBGE6,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2021-04-10,500000,2,1,1
2021-04-13,521420,2,1,1
2021-05-19,520220,2,1,1
2021-06-24,539902,2,2,0
2021-07-08,520765,1,1,1
2021-08-12,522090,2,2,0
2021-09-02,520950,2,1,1
2021-09-06,520190,5,3,2
2021-09-11,666666,10,5,5
2021-09-12,130000,1,1,0
2021-09-18,320000,1,1,0
2021-09-23,521840,1,1,0
2021-09-30,530140,4,2,2
2021-10-01,210000,5,3,2
2021-10-01,521360,1,1,0
2021-10-04,539903,3,1,1
2021-10-05,520610,2,1,1
2021-10-06,410000,9,4,4
2021-10-07,539910,2,1,1
2021-10-23,521875,2,1,1
2021-10-29,330000,10,6,4
2021-11-27,539912,10,5,5
2021-12-13,280000,6,3,3
2021-12-21,539905,18,8,8
2021-12-23,520900,6,3,3
2022-01-12,420000,11,5,5
2022-01-13,230000,11,5,5
2022-01-19,430145,25,11,11
2022-01-25,530130,5,3,3
2022-01-26,290000,22,10,9
2022-02-08,539909,18,7,8
2022-02-17,530100,23,10,8
2022-02-22,539914,44,22,16
2022-02-25,539907,28,11,10
2022-03-09,530160,15,6,6
2022-03-22,530120,10,4,5
2022-04-04,520210,7,3,2
2022-04-05,530135,58,27,21
2022-04-05,530150,9,3,3
2022-04-05,539904,8,5,2
2022-04-25,530080,98,48,41
2022-04-26,530070,19,7,7
2022-04-28,310000,25,8,8
2022-04-29,530170,14,5,5
2022-05-03,260000,292,114,106
2022-05-06,530030,38,15,15
2022-05-10,530040,19,7,7
2022-05-10,539906,28,11,9
2022-05-11,539924,56,25,23
2022-05-16,530050,119,51,44
2022-05-24,430461,4423,1717,1627
2022-05-24,431200,4920,1894,1812
2022-05-24,520100,17,9,6
2022-05-28,171888,3707,1692,1407
2022-05-30,430825,4416,1660,1577
2022-05-30,431087,5207,2067,1990
2022-05-30,431235,4137,1546,1502
2022-05-30,431275,8629,3382,3186
2022-05-30,431505,5578,2158,2068
2022-05-31,411650,3330,1254,1185
2022-05-31,431478,4731,1736,1697
2022-05-31,520120,2633,950,908
2022-05-31,530090,102,42,37
2022-05-31,530180,47,19,17
2022-06-01,150125,5472,2962,2308
2022-06-01,171180,3382,1655,1338
2022-06-01,316480,4298,1689,1575
2022-06-01,430192,5372,1979,1976
2022-06-01,430885,4244,1687,1596
2022-06-01,521205,5291,2114,2003
2022-06-01,530110,264,120,104
2022-06-02,130426,16825,8476,6123
2022-06-02,150746,9912,4579,3861
2022-06-02,314540,5252,1896,1862
2022-06-02,430205,4238,1746,1620
2022-06-02,430957,6175,2495,2363
2022-06-02,431217,4329,1608,1540
2022-06-02,431475,5940,2228,2151
2022-06-02,431935,9829,3699,3554
2022-06-02,431971,5963,2255,2160
2022-06-02,432045,5519,2086,2029
2022-06-02,432147,12458,4853,4651
2022-06-02,432335,5834,2155,2077
2022-06-03,171215,3630,1510,1323
2022-06-03,172015,2944,1310,1158
2022-06-03,211227,9126,4353,3427
2022-06-03,221062,8166,3633,3314
2022-06-03,240165,7028,2824,2561
2022-06-03,251394,6899,2619,2478
2022-06-03,316050,3627,1591,1325
2022-06-03,316820,5208,2031,1869
2022-06-03,421090,10038,4434,3855
2022-06-03,421390,4196,1655,1599
2022-06-03,430237,4292,1842,1598
2022-06-03,430469,7098,2628,2577
2022-06-03,430558,5846,2433,2303
2022-06-03,430613,4420,1597,1546
2022-06-03,430650,30700,13003,11372
2022-06-03,431041,4048,1714,1547
2022-06-03,431070,9014,3389,3232
2022-06-03,431295,6096,2176,2101
2022-06-03,432375,8386,3239,3050
2022-06-03,500310,5663,2410,2162
2022-06-03,500730,9255,3794,3413
2022-06-03,510788,3539,1516,1379
2022-06-03,530060,22,9,8
2022-06-04,220915,8255,3086,2982
2022-06-04,250620,8554,3010,2911
2022-06-04,251065,5095,1875,1790
2022-06-04,251274,7246,2960,2766
2022-06-04,251278,4673,2030,1818
2022-06-04,311490,6060,2330,2250
2022-06-04,312460,3754,1808,1433
2022-06-04,312500,11236,4310,3963
2022-06-04,420555,5133,2207,1989
2022-06-04,430055,4448,1687,1509
2022-06-04,431267,4241,1796,1485
2022-06-04,530020,114,56,44
2022-06-06,120005,13567,6381,5023
2022-06-06,120035,29169,13926,10937
2022-06-06,130140,44910,22706,16800
2022-06-06,130360,22239,9797,8011
2022-06-06,150690,11435,5402,4302
2022-06-06,170105,5012,2289,1883
2022-06-06,170110,6974,3291,2778
2022-06-06,171550,2046,917,800
2022-06-06,171780,8636,3699,3253
2022-06-06,210010,11211,5753,4663
2022-06-06,210730,7607,3589,2828
2022-06-06,211125,13013,5526,4780
2022-06-06,220380,7991,3763,3131
2022-06-06,220890,12228,5306,4614
2022-06-06,241142,6549,2491,2324
2022-06-06,250915,13820,5671,5107
2022-06-06,251260,4230,1616,1524
2022-06-06,251465,3623,1484,1383
2022-06-06,280500,6489,2791,2416
2022-06-06,314570,4695,1775,1631
2022-06-06,314780,5918,2051,2025
2022-06-06,314880,9820,3820,3538
2022-06-06,411435,6218,2430,2308
2022-06-06,412830,6414,2396,2347
2022-06-06,420519,5172,2140,2025
2022-06-06,420785,5618,2194,2125
2022-06-06,421165,7035,2763,2654
2022-06-06,421535,8687,3507,3252
2022-06-06,421560,4574,1789,1668
2022-06-06,421715,4416,1782,1650
2022-06-06,430925,4318,1549,1426
2022-06-06,431846,4953,2018,1840
2022-06-06,432162,5867,2163,2113
2022-06-06,510120,1983,862,765
2022-06-06,510885,6843,3221,2694
