IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
4215604,Santa Rosa de Lima,2151,2022-06-08,4597,1789,1668
4314787,Ponte Preta,1501,2022-06-15,4821,1737,1700
2514602,São José do Bonfim,3619,2022-06-17,8634,3561,3111
4317251,Santa Tereza,1722,2022-06-17,4679,1670,1636
4308854,Gentil,1619,2022-06-20,4256,1697,1596
4312351,Montauri,1430,2022-06-20,4169,1546,1503
1600212,Cutias,6217,2022-06-21,8087,3807,2980
1718808,Sampaio,4876,2022-06-21,8003,3804,3148
2501153,Areia de Baraúnas,2105,2022-06-21,4752,1711,1652
2514701,São José do Sabugi,4153,2022-06-21,10719,4029,3852
3124609,Estrela Dalva,2308,2022-06-21,3773,1809,1436
4307864,Fagundes Varela,2750,2022-06-21,6628,2455,2365
4322350,União da Serra,1084,2022-06-21,2850,1119,1025
1715507,Oliveira de Fátima,1124,2022-06-22,2085,923,811
2200954,Aroeiras do Itaim,2551,2022-06-22,4921,2048,2129
2401859,Caiçara do Norte,6572,2022-06-22,10751,4583,3859
2407906,Monte das Gameleiras,2063,2022-06-22,4875,1967,1870
2501351,Assunção,4067,2022-06-22,11541,4605,4270
2516755,Tenório,3103,2022-06-22,7094,3009,2671
3143609,Morro da Garça,2413,2022-06-22,6641,2498,2406
3150109,Piau,2719,2022-06-22,8143,2906,2765
3170305,Umburatiba,2582,2022-06-22,7078,3261,2789
4210555,Marema,1703,2022-06-22,5762,2135,2046
4300661,André da Rocha,1351,2022-06-22,3694,1236,1177
4306320,Derrubadas,2718,2022-06-22,6927,2553,2463
4307450,Esperança do Sul,2846,2022-06-22,8198,3188,3010
4309258,Guabiju,1478,2022-06-22,4472,1549,1431
4310702,Itatiba do Sul,3143,2022-06-22,9253,3389,3233
4314753,Poço das Antas,2105,2022-06-22,6015,2228,2153
4319711,São Valentim do Sul,2248,2022-06-22,6092,2255,2165
1300060,Amaturá,11934,2022-06-23,8335,4826,2421
1712801,Maurilândia do Tocantins,3470,2022-06-23,5134,2541,1940
1713700,Monte Santo do Tocantins,2311,2022-06-23,4782,2074,1784
2107209,Nina Rodrigues,14826,2022-06-23,18253,8942,6842
2411700,São Bento do Trairí,4541,2022-06-23,7722,3365,2816
2501534,Baraúna,5033,2022-06-23,12261,4866,4433
2503407,Cacimba de Areia,3708,2022-06-23,8603,3365,3119
2512606,Quixaba,2009,2022-06-23,4298,1617,1526
2514453,São José dos Ramos,6037,2022-06-23,12981,5131,4534
2516151,Sossêgo,3631,2022-06-23,10116,3870,3637
2612109,Salgadinho,11214,2022-06-23,14068,5495,5022
3104809,Augusto de Lima,4833,2022-06-23,12089,4445,4205
3149002,Pedra Dourada,2559,2022-06-23,6095,2443,2271
3162658,São João do Pacuí,4476,2022-06-23,6606,2817,2558
3163607,São José do Mantimento,2821,2022-06-23,5015,2205,1913
3547205,Santana da Ponte Pensa,1448,2022-06-23,5320,1746,1904
4120150,Porto Barreiro,3133,2022-06-23,7416,2870,2706
4120853,Quatro Pontes,4043,2022-06-23,9656,4123,3805
4128625,Alto Paraíso,2630,2022-06-23,7808,3230,2773
4202701,Botuverá,5396,2022-06-23,12617,5118,4813
4204756,Cunhataí,1972,2022-06-23,5055,1932,1894
4205431,Formosa do Sul,2481,2022-06-23,6745,2509,2499
4210902,Modelo,4227,2022-06-23,10093,4435,3857
4211256,Morro Grande,2884,2022-06-23,7000,2847,2714
4213005,Pinheiro Preto,3635,2022-06-23,7345,3387,3103
4217956,Tigrinhos,1606,2022-06-23,5127,2088,1943
4300208,Ajuricaba,6951,2022-06-23,16047,6412,5993
4301651,Barão,6232,2022-06-23,15629,5710,5525
4302055,Benjamin Constant do Sul,1924,2022-06-23,4278,1746,1620
4304853,Carlos Gomes,1327,2022-06-23,4407,1518,1476
4305850,Coqueiros do Sul,2267,2022-06-23,5940,2328,2147
4307831,Eugênio de Castro,2310,2022-06-23,6569,2507,2344
4309571,Herveiras,3019,2022-06-23,6197,2496,2364
4310306,Ilópolis,4054,2022-06-23,9150,3368,3238
4310751,Ivorá,1854,2022-06-23,6489,2149,2072
4310876,Jacuizinho,2718,2022-06-23,5286,2067,1991
4311643,Linha Nova,1724,2022-06-23,3638,1380,1338
4311734,Mampituba,2965,2022-06-23,6773,2696,2520
4312005,Mariano Moro,1987,2022-06-23,4975,1895,1814
4312054,Marques de Souza,3981,2022-06-23,9695,3561,3389
4312179,Mato Queimado,1611,2022-06-23,4402,1611,1542
4312427,Mormaço,3139,2022-06-23,5656,2331,2168
4312757,Nova Alvorada,3698,2022-06-23,8706,3383,3187
4313359,Nova Roma do Sul,3743,2022-06-23,9461,3591,3551
4314134,Paulo Bento,2303,2022-06-23,5557,2145,2084
4315552,Rio dos Índios,2571,2022-06-23,6676,2720,2518
4318481,São José do Hortêncio,4924,2022-06-23,10310,4048,3901
4322327,Turuçu,3408,2022-06-23,10519,3886,3720
4322855,Vespasiano Corrêa,1776,2022-06-23,3978,1579,1513
4323457,Vila Nova do Sul,4274,2022-06-23,12115,4119,3975
5101209,Araguainha,909,2022-06-23,2049,865,767
5201207,Anhanguera,1171,2022-06-23,2683,950,913
5201504,Aporé,4266,2022-06-23,6226,2628,2282
5204201,Cachoeira de Goiás,1336,2022-06-23,4250,1623,1468
5209150,Gouvelândia,6076,2022-06-23,10681,4461,4002
5222302,Vila Propício,5941,2022-06-23,12705,5235,4630
1200435,Santa Rosa do Purus,6893,2022-06-24,9490,4536,3477
1301407,Eirunepé,36121,2022-06-24,45705,22909,16987
1301951,Itamarati,7777,2022-06-24,12316,6181,4620
1302108,Japurá,1755,2022-06-24,6415,3437,2351
1502004,Cachoeira do Arari,24355,2022-06-24,35798,16085,13294
1506401,Santa Cruz do Arari,10496,2022-06-24,8728,4377,3235
1507102,São Caetano de Odivelas,18207,2022-06-24,31784,14329,12306
1507466,São João da Ponta,6294,2022-06-24,10094,4593,3896
1507755,Sapucaia,6088,2022-06-24,8124,4263,3240
1600550,Pracuúba,5370,2022-06-24,5594,2704,2074
1703057,Bandeirantes do Tocantins,3631,2022-06-24,5241,2508,2088
1703883,Carmolândia,2627,2022-06-24,4879,2288,1906
1704600,Chapada de Areia,1415,2022-06-24,2575,1178,992
1705607,Conceição do Tocantins,4070,2022-06-24,8001,3528,3171
1708254,Tabocão,2615,2022-06-24,6703,3112,2763
1709807,Ipueiras,2088,2022-06-24,3268,1395,1280
1711803,Juarina,2174,2022-06-24,3447,1658,1352
1711951,Lagoa do Tocantins,4470,2022-06-24,4589,2389,1815
1718881,Santa Maria do Tocantins,3537,2022-06-24,3796,1698,1418
2101350,Bacurituba,5696,2022-06-24,11304,4808,4253
2101731,Belágua,7586,2022-06-24,12645,6343,4740
2102408,Cajapió,11255,2022-06-24,19185,8579,7626
2103174,Centro Novo do Maranhão,22056,2022-06-24,25768,11856,9518
2105906,Lago Verde,16369,2022-06-24,23358,10866,8813
2106201,Luís Domingues,7016,2022-06-24,8963,4628,3429
2111722,Satubinha,14274,2022-06-24,10766,4959,4140
2112001,Tasso Fragoso,8642,2022-06-24,15704,7018,6036
2112605,Urbano Santos,33791,2022-06-24,47557,23519,18651
2202133,Campo Grande do Piauí,5987,2022-06-24,8958,4339,3732
2205359,João Costa,3003,2022-06-24,8433,2876,2776
2205854,Madeiro,8372,2022-06-24,14936,6029,5412
2305100,Guaramiranga,5073,2022-06-24,17222,7084,6074
2307908,Martinópole,11407,2022-06-24,20506,10282,7683
2308807,Moraújo,8833,2022-06-24,18435,7415,6399
2401503,Barcelona,3989,2022-06-24,8710,3438,3123
2404804,Ipueira,2264,2022-06-24,6136,2151,1998
2414902,Viçosa,1731,2022-06-24,4465,1543,1430
2500577,Algodão de Jandaíra,2588,2022-06-24,7204,2948,2770
2501575,Barra de Santana,8338,2022-06-24,19064,7611,6988
2502607,Igaracy,6092,2022-06-24,12092,4989,4385
2504108,Carrapateira,2714,2022-06-24,6000,2203,2076
2508109,Lagoa,4640,2022-06-24,10937,4478,4116
2508406,Lastro,2698,2022-06-24,8659,3062,3153
2508554,Logradouro,4406,2022-06-24,8991,3615,3375
2512762,Riachão do Poço,4571,2022-06-24,10994,4618,4186
2513000,Salgadinho,3975,2022-06-24,7384,3032,2701
2515203,São Sebastião do Umbuzeiro,3534,2022-06-24,9736,3573,3581
2515971,Sobrado,7845,2022-06-24,18885,8123,7235
2517407,Zabelê,2269,2022-06-24,6952,2404,2316
2806404,Santana do São Francisco,7906,2022-06-24,15656,6548,5931
2913309,Ichu,6232,2022-06-24,13247,5460,4972
3100708,Água Comprida,1986,2022-06-24,7307,2599,2501
3103207,Araçaí,2360,2022-06-24,5874,2172,2079
3108701,Brás Pires,4255,2022-06-24,10393,4007,3628
3116902,Comendador Gomes,3128,2022-06-24,6454,2428,2362
3123403,Doresópolis,1539,2022-06-24,4258,1674,1567
3123502,Douradoquara,1915,2022-06-24,5058,1813,1746
3126208,Formoso,9810,2022-06-24,15606,6711,5898
3126950,Frei Lagonegro,3496,2022-06-24,9537,3398,3285
3127909,Grupiara,1386,2022-06-24,4236,1472,1434
3135308,Japaraíba,4418,2022-06-24,10745,4126,3918
3140209,Maripá de Minas,3000,2022-06-24,8865,3204,3098
3145356,Novo Oriente de Minas,10800,2022-06-24,17871,8052,6503
3145372,Novorizonte,5348,2022-06-24,9755,4203,3520
3147808,Passa Vinte,2024,2022-06-24,6021,2055,2028
3149408,Pedro Teixeira,1804,2022-06-24,5931,2144,2039
3153202,Presidente Juscelino,3572,2022-06-24,11088,3779,3647
3162302,São João da Mata,2743,2022-06-24,7762,2767,2673
3165602,Senador Cortes,2001,2022-06-24,6089,2291,2230
3172103,Volta Grande,5270,2022-06-24,12200,4542,4266
3301603,Duas Barras,11563,2022-06-24,18907,8200,7089
3527504,Lucianópolis,2412,2022-06-24,6022,2078,2147
3549300,São João do Pau d'Alho,2095,2022-06-24,5573,1980,2037
3555307,Turmalina,1667,2022-06-24,5955,1939,1917
3556958,Vitória Brasil,1852,2022-06-24,5202,1926,1873
4103958,Campina do Simão,3831,2022-06-24,11493,4625,4117
